;;Male Adults Held in Prisons, Penal Institutions or Correctional Institutions;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Definitions:;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;; “Persons Held in Prisons, Penal Institutions or Correctional Institutions” means persons held in Prisons, Penal Institutions or Correctional Institutions on a specified day and should exclude non-criminal prisoners held for administrative purposes, for example, persons held pending investigation into their immigration status or foreign citizens without a legal right to stay.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;    ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Data supplied by countries ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;may not exactly reflect the definition;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;; provided by UNODC.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dowload full Dataset;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;;Rate per 100,000 male adults aged 18 or over;;;;;;;;;;;;;
Americas;Central America;Costa Rica;;;7,645;7,209;7,061;7,754;8,873;9,893;11,396;13,792;12,725;12,865;12,604;;;;530.94;486.76;463.74;495.80;552.98;601.70;677.13;801.63;724.15;717.23;688.72;
Americas;Central America;El Salvador;;;11,940;13,944;16,762;18,269;20,164;22,269;22,932;24,386;24,352;25,620;29,469;;;;753.33;865.40;1,025.36;1,102.28;1,198.78;1,302.28;1,317.53;1,374.38;1,345.76;1,389.50;1,570.45;
Americas;Central America;Guatemala;;;;;;;;;;13,764;;;;;;;;;;;;;;370.17;;;;
Americas;Central America;Honduras;;;;;;;;11,357;11,613;11,657;12,653;14,223;15,404;;;;;;;;;537.49;532.44;517.88;544.98;594.30;624.86;
Americas;Central America;Mexico*;;94,129;195,248;199,455;201,953;208,784;213,650;209,188;220,324;214,449;233,973;211,731;206,223;;;299.21;610.19;610.89;606.24;614.18;615.75;590.53;608.71;579.70;618.79;547.96;522.41;
Americas;Central America;Nicaragua;;;5,101;5,574;6,119;5,546;5,419;6,443;;;;;;;;;347.70;370.91;397.80;352.22;336.06;389.87;;;;;;
Americas;Central America;Panama*;;10,542;10,810;10,827;10,826;9,047;9,585;11,662;12,301;13,472;13,454;13,825;16,741;;;1,001.24;1,002.11;980.46;958.18;782.96;811.36;965.78;997.21;1,069.18;1,045.28;1,051.51;1,246.56;
Americas;Northern America;United States of America;;1,955,100;1,986,200;2,038,900;2,064,500;2,082,800;2,081,800;2,071,800;2,048,200;2,033,200;2,017,700;2,013,500;1,969,700;;;1,823.85;1,829.97;1,858.17;1,859.46;1,853.04;1,829.87;1,800.05;1,759.14;1,727.18;1,696.31;1,675.85;1,623.32;
Americas;South America;Argentina;;;41,517;47,637;48,176;50,641;52,125;56,198;57,195;58,338;61,270;65,418;68,468;;;;326.69;369.66;368.81;382.55;388.52;413.22;415.22;418.01;433.32;456.81;472.31;
Americas;South America;Brazil*;;;;378,171;396,760;422,565;442,225;461,444;480,524;514,563;547,383;542,401;578,440;;;;;614.22;633.27;663.26;683.19;702.33;719.92;759.82;797.00;778.46;817.83;
Americas;South America;Chile;35,373;35,548;36,258;39,633;44,709;49,553;53,406;55,077;54,089;51,476;47,196;44,076;42,768;;661.45;652.07;652.18;699.81;774.76;842.74;891.64;903.05;871.72;815.99;736.58;677.91;648.90;
Americas;South America;Colombia;58,098;63,385;62,707;56,626;59,971;65,786;71,204;78,760;92,968;105,387;111,046;105,675;;;460.20;490.92;474.97;419.63;434.92;467.02;494.93;536.12;620.19;689.22;712.32;665.29;;
Americas;South America;Ecuador;8,862;10,229;;;;;10,649;13,479;15,356;19,081;22,757;21,905;;;222.63;250.64;;;;;231.71;286.83;319.63;388.69;453.84;427.79;;
Americas;South America;Guyana;;1,204;1,385;1,758;2,042;1,994;2,065;2,045;1,932;1,880;1,928;;1,931;;;551.28;639.47;807.96;935.64;912.41;945.16;936.98;873.94;840.08;849.64;;823.52;
Americas;South America;Paraguay;;;;5,730;5,541;5,535;6,318;5,869;6,714;7,374;8,581;10,069;12,070;;;;;326.09;307.04;298.76;332.36;301.08;336.07;360.45;409.88;470.16;551.09;
Americas;South America;Peru;;;;;;;;;;57,511;63,360;67,589;72,697;;;;;;;;;;;593.60;640.94;670.20;706.88;
Americas;South America;Uruguay;;;;;;;;8,012;8,434;8,794;8,793;8,977;;;;;;;;;;691.76;722.47;747.34;741.47;751.32;;
Asia;Central Asia;Kazakhstan;;;;;;44,965;46,886;51,770;45,995;42,223;38,987;40,085;39,044;;;;;;;881.15;906.56;988.79;870.37;791.55;724.66;739.92;717.02;
Asia;Central Asia;Kyrgyzstan;;;;;;;;;;;;;7,702;;;;;;;;;;;;;;436.43;
Asia;Eastern Asia;China;;;;;;;;;;1,547,059;;1,532,070;;;;;;;;;;;;280.74;;273.36;;
Asia;Eastern Asia;China, Hong Kong Special Administrative Region;;9,031;8,343;8,388;7,920;7,320;7,086;7,127;6,689;6,745;6,463;;;;;342.26;315.11;315.02;295.76;271.76;261.46;261.21;242.72;242.20;229.62;;;
Asia;Eastern Asia;China, Macao Special Administrative Region*;;;;;;791;797;783;868;924;955;993;1,067;;;;;;;408.23;393.88;372.07;401.40;416.96;421.70;430.01;453.79;
Asia;Eastern Asia;Japan;;71,806;74,158;76,060;74,540;71,624;70,001;67,615;64,510;61,710;57,890;55,415;;;;141.31;145.41;148.70;145.37;139.40;136.01;131.21;125.17;119.76;112.39;107.65;;
Asia;Eastern Asia;Mongolia;;5,881;6,624;6,296;7,367;7,467;6,057;6,891;7,439;7,574;7,662;7,224;5,185;;;765.43;837.15;772.60;879.90;870.43;690.26;768.65;815.82;816.29;811.93;754.04;534.23;
Asia;Eastern Asia;Republic of Korea;;;;;;;46,249;42,908;42,189;43,563;45,404;48,411;;;;;;;;;247.81;226.76;220.17;224.45;231.04;243.45;;
Asia;South-Eastern Asia;Indonesia;;;;;;;;;;144,379;146,898;147,845;161,372;;;;;;;;;;;179.80;179.67;177.58;190.45;
Asia;South-Eastern Asia;Philippines*;;;;;53,486;51,934;51,874;53,204;57,911;62,649;65,066;70,963;85,576;;;;;;212.73;201.76;196.92;197.45;209.68;221.54;224.84;239.59;282.24;
Asia;South-Eastern Asia;Singapore*;;;;10,660;10,436;10,723;11,423;11,588;11,268;11,191;11,552;11,117;10,958;;;;;611.03;581.75;581.62;602.93;595.13;562.80;543.78;546.47;512.34;492.44;
Asia;South-Eastern Asia;Thailand;;;135,102;128,007;;;182,941;;;;;208,534;220,256;;;;586.37;546.23;;;752.71;;;;;819.59;859.28;
Asia;Southern Asia;Bhutan;;;;;;;;;;1,006;1,000;;;;;;;;;;;;;375.38;363.58;;;
Asia;Southern Asia;India;;318,421;344,382;358,614;360,995;368,824;;353,961;356,902;368,184;393,804;;;;;91.10;96.40;98.34;96.97;97.05;;89.51;88.50;89.60;94.12;;;
Asia;Western Asia;Armenia;;2,765;1,822;2,747;2,942;3,365;3,762;4,214;4,904;4,535;3,705;3,684;3,691;;;275.93;178.50;264.90;279.29;314.84;347.50;384.97;443.84;407.16;330.58;327.42;327.54;
Asia;Western Asia;Azerbaijan;;17,970;17,561;18,158;19,061;18,352;17,582;18,792;17,184;17,406;20,040;21,806;;;;670.62;636.83;640.37;654.31;613.99;574.06;599.59;537.31;533.99;604.20;647.18;;
Asia;Western Asia;Cyprus;271;318;445;512;504;582;519;577;571;609;491;479;492;;72.83;83.12;113.29;127.66;123.07;139.13;121.45;132.19;128.61;134.88;106.99;102.78;104.07;
Asia;Western Asia;Georgia;;;8,749;14,480;;17,609;20,021;22,307;22,724;18,301;8,768;10,008;;;;;558.87;925.16;;1,122.17;1,274.85;1,420.36;1,449.98;1,170.25;562.43;645.20;;
Asia;Western Asia;Iraq (Central Iraq);;;;;;16,291;19,598;24,234;25,371;29,844;29,315;;;;;;;;;65.58;76.77;92.17;93.46;106.31;100.90;;;
Asia;Western Asia;Israel;;;;;;;;17,223;16,034;16,542;16,646;17,008;;;;;;;;;;702.33;644.97;657.86;655.31;662.75;;
Asia;Western Asia;Jordan;;;;5,998;6,472;6,471;7,012;8,307;;57,352;;;;;;;;382.16;392.05;371.57;381.32;428.22;;2,687.77;;;;
Asia;Western Asia;Lebanon;;;6,535;5,704;;;4,630;5,737;4,810;4,717;5,076;;5,903;;;;480.66;405.04;;;303.93;364.34;291.79;272.34;279.48;;303.72;
Asia;Western Asia;Saudi Arabia;;;;;;;;;;;;;838;;;;;;;;;;;;;;6.87;
Asia;Western Asia;State of Palestine;;;;;4,224;8,985;10,472;12,251;12,391;12,770;;;;;;;;;466.16;955.63;1,071.27;1,204.00;1,169.20;1,157.41;;;;
Asia;Western Asia;Turkey;;;;;87,127;96,890;109,648;114,551;121,731;129,181;138,344;150,999;169,292;;;;;;388.62;424.20;471.31;483.44;504.57;525.81;552.99;592.96;653.47;
Asia;Western Asia;United Arab Emirates;;;;;;;;;;8,570;8,795;8,629;;;;;;;;;;;;152.20;154.62;150.95;;
Asia;Western Asia;Yemen;;6,817;5,824;4,806;5,625;6,149;6,346;;;;;;;;;150.70;123.78;98.41;110.83;116.46;115.53;;;;;;;
Europe;Eastern Europe;Belarus;35,103;39,958;38,772;42,305;43,144;41,033;37,016;36,465;33,865;26,827;26,409;27,460;;;1,005.84;1,143.57;1,107.65;1,206.10;1,227.52;1,166.12;1,052.06;1,038.03;967.98;770.58;763.04;799.05;;
Europe;Eastern Europe;Bulgaria;;10,370;10,918;10,583;9,844;9,043;8,708;9,015;9,507;9,111;8,493;7,549;7,117;;;338.94;357.81;347.88;324.78;299.77;290.35;302.69;321.83;311.16;292.77;262.81;250.36;
Europe;Eastern Europe;Czechia*;;;;;;;;20,410;21,485;20,994;15,578;17,387;19,338;;;;;;;;;481.94;503.79;489.54;361.84;402.88;447.55;
Europe;Eastern Europe;Hungary;;15,119;14,292;13,412;13,010;13,289;13,931;14,758;15,470;15,440;16,027;16,134;;;;398.61;376.39;353.06;341.94;348.55;364.73;385.87;404.21;403.46;419.21;422.68;;
Europe;Eastern Europe;Poland;;60,069;75,372;80,773;80,630;76,764;77,745;75,007;76,011;78,668;74,005;72,858;66,962;;;420.38;523.61;557.39;553.23;524.08;528.41;507.72;513.29;529.92;497.50;489.27;449.73;
Europe;Eastern Europe;Republic of Moldova;;6,606;8,255;5,559;7,297;6,332;6,043;5,840;5,979;6,083;6,349;6,800;;;;501.21;627.59;423.02;555.32;482.17;460.76;446.18;458.62;468.06;490.25;527.91;;
Europe;Eastern Europe;Romania;;30,973;34,910;31,773;27,472;24,570;25,052;26,538;28,889;29,968;31,383;28,323;26,591;;;367.47;411.13;371.36;319.43;285.07;290.58;308.13;336.18;349.72;367.27;332.47;313.17;
Europe;Eastern Europe;Russian Federation;;;;;;;;745,717;689,441;640,265;618,175;613,723;590,321;;;;;;;;;1,409.34;1,305.92;1,217.86;1,182.46;1,181.80;1,145.27;
Europe;Eastern Europe;Slovakia;;;;;;;8,671;9,340;9,775;10,067;9,071;9,316;9,196;;;;;;;;413.33;442.08;460.39;472.12;424.01;434.53;428.52;
Europe;Eastern Europe;Ukraine;;;;;;;;106,499;108,206;;;;;;;;;;;;;620.60;635.07;;;;;
Europe;Northern Europe;Denmark;;;;;;;3,523;3,743;3,774;3,673;3,890;3,429;3,079;;;;;;;;166.42;175.45;175.80;169.99;178.88;156.70;139.87;
Europe;Northern Europe;Estonia*;;;;;3,073;3,224;3,371;3,157;3,190;3,088;2,936;;2,646;;;;;;641.04;672.62;704.27;661.20;670.39;651.02;620.92;;564.38;
Europe;Northern Europe;Finland;2,726;2,844;3,540;3,512;3,306;3,219;3,249;3,046;2,969;3,000;2,960;2,810;2,818;;137.58;142.74;176.58;174.12;162.77;157.28;157.51;146.53;141.92;142.56;139.93;132.24;132.10;
Europe;Northern Europe;Iceland;;108;110;112;106;129;136;159;140;139;145;;;;;100.69;100.89;101.06;94.03;112.45;116.48;133.82;116.09;113.54;116.74;;;
Europe;Northern Europe;Ireland;2,455;2,533;;;3,076;3,313;3,690;4,122;4,054;4,118;3,588;3,084;3,035;;165.89;167.00;;;192.71;205.48;226.82;251.04;244.54;245.76;211.75;179.97;175.17;
Europe;Northern Europe;Latvia;;;7,045;6,416;6,032;5,969;6,504;6,271;6,077;5,646;4,743;4,364;4,012;;;;879.76;807.83;765.81;764.48;840.56;817.65;797.46;745.15;629.61;583.18;540.60;
Europe;Northern Europe;Lithuania;;7,679;7,650;7,594;7,337;7,445;8,100;8,567;9,373;9,182;8,744;8,175;6,975;;;653.58;655.44;655.98;640.00;656.36;721.22;769.02;846.40;831.79;793.51;743.56;636.91;
Europe;Northern Europe;Norway*;;2,689;2,914;3,061;3,212;3,222;3,043;3,270;3,556;3,720;3,628;2,624;2,772;;;156.47;167.95;174.08;179.93;177.61;165.04;174.59;187.50;193.79;186.82;133.60;139.56;
Europe;Northern Europe;Sweden;;;;;;;;6,437;6,272;5,922;5,383;5,377;5,211;;;;;;;;;174.86;168.57;157.75;142.38;141.40;136.39;
Europe;Northern Europe;United Kingdom (England and Wales)*;;59,764;68,392;69,777;71,851;74,810;75,533;78,151;78,702;79,520;77,212;79,037;79,883;;;298.88;338.28;341.77;348.27;358.70;358.83;367.38;366.99;366.98;353.68;358.69;;
Europe;Northern Europe;United Kingdom (Northern Ireland);;;1,241;1,409;1,398;1,460;1,460;1,402;1,624;1,631;1,732;1,651;1,404;;;;198.89;222.59;217.67;224.41;221.85;211.14;242.97;242.30;256.30;242.50;;
Europe;Northern Europe;United Kingdom (Scotland);;5,670;5,650;5,876;6,008;6,438;6,561;6,602;6,974;6,941;6,921;6,800;6,889;;;298.17;294.39;303.37;306.84;325.57;329.10;327.92;342.42;339.35;338.44;332.52;;
Europe;Southern Europe;Albania*;;2,240;2,510;2,750;2,695;2,910;4,466;4,461;4,454;4,439;4,802;5,493;5,771;;;211.15;234.87;254.40;247.14;265.07;403.96;400.01;394.92;388.71;414.96;468.49;486.11;
Europe;Southern Europe;Andorra*;;;;;63;60;45;36;40;29;37;41;;;;;;;144.78;135.80;102.77;81.45;100.58;72.77;92.50;102.50;;
Europe;Southern Europe;Bosnia and Herzegovina;;;;;;;;2,161;2,193;;2,465;2,477;2,228;;;;;;;;;149.11;150.26;;167.04;166.93;149.28;
