;;Theft at the national level, number of police-recorded offences;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Definitions:;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;" ""Theft” means unlawfully taking or obtaining of property with the intent to permanently withhold it from a person or organization without consent and without the use of force, threat of force or violence, coercion or deception. “Theft” excludes ""Burglary"", ""Robbery"", and ""Theft of a Motorized Land Vehicle"", which are recorded separately.";;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;    ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Data supplied by countries ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;may not exactly reflect the definition;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;; provided by UNODC.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Data interpretation;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;: When using the figures, any cross-national comparison should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, the different methods of offence counting and recording and differences in the share of criminal offences that are not reported to or detected by law enforcement authorities (i.e. the dark figure).;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dowload full Dataset;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;;;
Americas;Caribbean;Barbados;;1,268;1,130;1,257;1,958;2,159;2,073;2,067;2,338;2,376;1,855;1,958;1,694;;;464.31;412.39;457.02;709.02;778.54;744.44;739.36;833.21;843.81;656.63;690.95;596.03;
Americas;Caribbean;Dominican Republic;;;;;;;;;;10,047;;24,483;;;;;;;;;;;;98.94;;235.28;;
Americas;Caribbean;Grenada;;;1,813;1,937;1,847;2,079;936;961;1,304;1,536;1,281;1,348;2,081;;;;1,761.03;1,875.87;1,783.04;2,000.31;897.43;918.06;1,241.08;1,456.26;1,209.61;1,267.52;1,948.05;
Americas;Caribbean;Jamaica;;;;;;;;;;3,188;2,090;;;;;;;;;;;;;115.38;75.36;;;
Americas;Caribbean;Puerto Rico;;;;;;33,113;30,584;26,773;29,273;30,545;29,360;28,948;24,493;;;;;;;888.19;822.49;721.71;790.74;826.51;795.54;785.24;664.99;
Americas;Caribbean;Saint Kitts and Nevis;;;;;;;553;533;491;;;;;;;;;;;;1,069.28;1,018.11;926.45;;;;;
Americas;Caribbean;Saint Vincent and the Grenadines;;2,017;1,933;1,849;1,531;1,729;1,845;1,901;2,312;2,103;;;;;;1,857.91;1,777.49;1,697.76;1,403.96;1,583.84;1,688.71;1,739.00;2,114.49;1,923.46;;;;
Americas;Caribbean;Trinidad and Tobago;;1,937;2,752;3,064;3,570;4,407;3,987;4,089;3,118;3,589;2,603;2,364;1,870;;;150.09;212.19;235.12;272.67;335.04;301.67;307.88;233.59;267.52;193.07;174.53;137.49;
Americas;Central America;Belize;;;1,678;1,857;;;1,179;836;932;822;933;826;;;;;592.35;638.69;;;375.57;259.94;283.12;244.13;271.07;234.86;;
Americas;Central America;Costa Rica;6,877;7,839;8,361;10,326;12,174;13,685;17,494;20,247;20,512;14,386;32,785;;;;166.68;187.22;196.83;239.65;278.62;308.95;389.77;445.45;445.87;309.10;696.60;;;
Americas;Central America;El Salvador*;;;10,720;11,417;8,122;9,488;10,152;9,676;10,871;10,254;9,268;7,533;8,539;;;;180.25;191.32;135.67;158.02;168.60;160.24;179.53;168.87;152.19;123.34;139.38;
Americas;Central America;Guatemala;;5,172;4,303;3,875;4,131;4,697;5,985;6,513;8,122;9,112;;;;;;40.16;32.64;28.72;29.94;33.30;41.51;44.21;53.97;59.29;;;;
Americas;Central America;Honduras;;;;;5,751;5,223;4,905;4,478;4,066;5,010;4,528;;2,916;;;;;;80.62;71.95;66.44;59.68;53.35;64.76;57.69;;36.11;
Americas;Central America;Mexico*;;83,143;84,827;85,775;99,536;105,398;132,345;132,068;135,171;92,659;90,262;175,490;144,999;;;76.80;77.29;77.01;87.98;91.67;113.29;111.34;112.30;75.91;72.94;139.96;114.16;
Americas;Central America;Nicaragua;;;14,512;17,474;;;;10,453;;;;;;;;;269.77;320.61;;;;182.18;;;;;;
Americas;Central America;Panama*;;11,873;13,978;17,928;13,982;16,608;18,168;18,262;18,435;20,304;20,587;21,252;18,877;;;364.13;421.11;530.63;406.64;474.69;510.42;504.40;500.68;542.34;540.95;549.50;480.44;
Americas;Northern America;Bermuda;969;1,003;;;;;729;608;588;559;486;636;638;;1,493.64;1,541.70;;;;;1,133.64;950.68;924.85;884.79;774.22;1,019.62;1,028.97;
Americas;Northern America;Canada;720,021;690,967;655,885;634,912;597,504;569,714;574,950;544,231;515,591;514,920;486,562;487,161;504,113;;2,278.79;2,164.78;2,033.35;1,946.90;1,811.59;1,707.61;1,703.73;1,594.76;1,494.47;1,476.76;1,381.08;1,368.90;1,402.65;
Americas;Northern America;United States of America;7,026,802;6,937,089;6,783,447;6,626,363;6,591,542;6,586,206;6,338,095;6,204,601;6,151,095;6,168,874;6,019,465;5,809,054;5,706,346;;2,414.66;2,363.33;2,290.62;2,217.21;2,185.12;2,163.15;2,062.97;2,002.28;1,969.04;1,959.62;1,898.07;1,818.46;1,773.40;
Americas;South America;Argentina;;;303,669;292,041;264,797;284,205;;;;;;287,063;271,921;;;;775.74;738.25;662.49;703.79;;;;;;667.90;626.30;
